Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
2013-12-31,31,December,2013,28,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,28,29,57,Extra Large,Red,Steel,3 Years,Manufacturer D,2,12.29,6,1,False,63.12,Posti,Express,Basic,No Return
2013-05-10,10,May,2013,22,Youth (<25),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,Small,White,Aluminum,2 Years,Manufacturer D,3,10.2,7,2,True,15.45,FedEx,Next Day,,30 Days
2013-08-08,8,August,2013,26,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,LL Road Tire,3,8,21,36,24,60,Medium,Blue,Carbon Fiber,3 Years,Manufacturer B,2,4.86,4,11,False,27.7,FedEx,Standard,Basic,7 Days
2013-12-03,3,December,2013,28,Young Adults (25-34),F,United States,Washington,Accessories,Fenders,Fender Set - Mountain,15,8,22,137,120,257,Medium,Black,Carbon Fiber,3 Years,Manufacturer B,3,11.51,7,15,False,75.3,Posti,Next Day,,60 Days
2013-02-07,7,February,2013,19,Youth (<25),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,48,50,98,Small,Black,Carbon Fiber,3 Years,Manufacturer A,5,12.48,5,21,True,89.52,GLS,Next Day,Premium,7 Days
2013-05-28,28,May,2013,21,Youth (<25),M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Black",28,13,35,459,364,823,Medium,Red,Carbon Fiber,Lifetime,Manufacturer B,4,12.32,9,5,False,10.08,GLS,Next Day,,7 Days
2013-04-18,18,April,2013,60,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire,11,11,29,185,121,306,Extra Large,Blue,Carbon Fiber,Lifetime,Manufacturer C,1,5.55,9,1,True,96.61,Posti,Express,Premium,7 Days
2013-02-22,22,February,2013,63,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2,1266,2320,2015,2532,4547,Extra Large,White,Carbon Fiber,1 Year,Manufacturer C,2,2.73,8,6,True,44.42,UPS,Same Day,Premium,No Return
2013-12-22,22,December,2013,52,Adults (35-64),M,France,Essonne,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,951,1252,2203,Extra Large,White,Plastic,Lifetime,Manufacturer C,1,6.26,5,18,False,64.8,UPS,Same Day,Basic,60 Days
2013-09-22,22,September,2013,25,Young Adults (25-34),M,France,Hauts de Seine,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2259,4557,6816,Extra Large,Red,Carbon Fiber,3 Years,Manufacturer C,4,7.88,3,4,False,82.04,DHL,Same Day,Premium,7 Days
